# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "Saccharomyces_cerevisiae.R64-1-1.gtf" "-o" "gene_counts.txt" "SRR636637_sorted.bam" "SRR636636_sorted.bam" "SRR636635_sorted.bam" "SRR636633_sorted.bam" "SRR636638_sorted.bam" "SRR636634_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR636637_sorted.bam	SRR636636_sorted.bam	SRR636635_sorted.bam	SRR636633_sorted.bam	SRR636638_sorted.bam	SRR636634_sorted.bam
YDR320W-B	IV	1108484	1108621	+	138	14	32	13	12	13	18
YDL245C	IV	11657	13360	-	1704	22	26	11	15	13	6
YDR170W-A	IV	803195	804517	+	1323	468	603	117	179	384	140
YDR210W-B	IV	872112	877425	+	5314	52	42	23	23	45	21
YDR210C-D	IV	878659	883927	-	5269	141	183	106	163	116	133
YDR316W-B	IV	1096064	1101332	+	5269	13	15	20	15	17	13
YDR261C-D	IV	987534	992349	-	4816	157	178	259	219	133	183
YDR210C-C	IV	882605	883927	-	1323	0	0	0	0	0	0
YDR261C-C	IV	991027	992349	-	1323	0	0	0	0	0	0
YDR261W-B	IV	981462	986775	+	5314	174	111	95	136	162	86
YDR365W-A	IV	1206997	1208319	+	1323	0	0	0	0	0	0
YDR316W-A	IV	1096064	1097386	+	1323	0	0	0	0	0	0
YDR261W-A	IV	981462	982778	+	1317	0	0	0	0	0	0
YDR365W-B	IV	1206997	1212265	+	5269	68	67	102	77	76	90
YDR098C-B	IV	645858	651126	-	5269	74	95	70	69	63	42
YDR098C-A	IV	649804	651126	-	1323	0	0	0	0	0	0
YDR210W-A	IV	872112	873428	+	1317	0	0	0	0	0	0
YDR034C-D	IV	514043	519356	-	5314	103	157	49	77	121	49
YDR034C-C	IV	518040	519356	-	1317	0	0	0	0	0	0
YOR185C	XV	681444	682106	-	663	2227	3575	212	236	1860	200
YOR237W	XV	781994	783298	+	1305	21	16	105	166	15	123
YOL048C	XV;XV	240204;241026	240947;241310	-;-	1029	2440	2978	263	334	2219	261
tG(GCC)O1	XV	226611	226681	-	71	0	0	0	1	0	2
YOL144W	XV	53098	54552	+	1455	174	129	733	977	227	654
snR8	XV	832332	832521	+	190	100	79	35	44	129	39
YOR082C	XV	479296	479637	-	342	2	0	1	3	2	2
YOL072W	XV	194970	196337	+	1368	617	543	330	356	527	348
YOR114W	XV	537570	538454	+	885	296	351	100	97	273	87
YOL085C	XV	161673	162014	-	342	29	30	14	15	33	8
YOR385W	XV	1065043	1065915	+	873	660	416	330	293	864	951
YOR214C	XV	745593	746303	-	711	3	2	1	8	0	4
YOL119C	XV	94856	96361	-	1506	7396	9516	1228	1176	6399	1057
YOR019W	XV	368127	370319	+	2193	792	906	193	238	650	195
YOR206W	XV	727512	729644	+	2133	256	102	2777	3794	333	3096
YOR345C	XV	981812	982162	-	351	3	0	2	2	1	2
YOR341W	XV	960987	965981	+	4995	475	487	12161	13216	520	10255
YOL088C	XV	153912	154745	-	834	933	1076	901	917	897	850
YOR392W	XV	1079282	1079725	+	444	0	6	0	2	1	1
YOR160W	XV	633839	636757	+	2919	1242	710	1124	1096	1119	1404
YOR084W	XV	480587	481750	+	1164	264	348	329	389	217	274
YOR039W	XV	405768	406544	+	777	1986	2709	1389	1471	1934	1196
YOR264W	XV	818866	820158	+	1293	331	257	571	685	393	633
YOR281C	XV	846269	847129	-	861	850	873	651	967	856	711
tK(UUU)O	XV;XV	438643;438703	438679;438738	+;+	73	0	3	4	1	2	3
YOR230W	XV	770800	772113	+	1314	6368	5804	6109	4958	6549	5320
YOR144C	XV	602717	605092	-	2376	293	330	391	496	296	401
YOL081W	XV	171070	180309	+	9240	2933	2521	3416	3090	4022	2395
YOL052C	XV	232446	233636	-	1191	1479	1182	1598	1716	1612	1613
YOR285W	XV	849635	850054	+	420	5248	8842	1343	1425	4271	1158
YOR058C	XV	433688	436345	-	2658	1443	1107	558	720	1244	504
YOR270C	XV	828052	830574	-	2523	16428	18602	16615	15509	13545	14560
YOL154W	XV	34658	35407	+	750	344	473	313	339	273	288
YOR115C	XV	538659	539465	-	807	1160	1495	654	935	1145	707
YOL003C	XV	321858	322994	-	1137	851	1130	941	833	661	821
YOR258W	XV	811671	812324	+	654	249	262	108	147	282	135
tN(GUU)O2	XV	487439	487512	+	74	0	3	0	0	2	0
YOL103W	XV	124001	125830	+	1830	2097	1536	2006	2095	1882	1944
YOR215C	XV	746725	747282	-	558	1064	1109	181	303	1168	266
YOL095C	XV	139227	141347	-	2121	231	245	219	299	209	242
YOL063C	XV	207392	210265	-	2874	1467	1679	887	922	1303	814
YOL079W	XV	181057	181455	+	399	0	0	0	1	1	0
YOR389W	XV	1074213	1076087	+	1875	165	232	122	167	179	123
YOR231W	XV	772601	774127	+	1527	782	1033	635	722	668	598
YOR021C	XV	372798	373439	-	642	643	656	1773	2311	736	1780
YOR139C	XV	586950	587342	-	393	4	2	0	4	0	2
YOR120W	XV	551114	552052	+	939	2093	3644	207	215	1958	251
YOL038W	XV	255337	256101	+	765	5854	2664	1980	2342	5207	2346
YOR023C	XV	376012	377712	-	1701	1235	1329	639	558	1076	605
YOL124C	XV	85456	86757	-	1302	59	65	1473	1785	63	1553
YOR212W	XV	742910	744181	+	1272	975	1480	1763	2282	991	1664
YOL013W-A	XV	301047	301238	+	192	6	8	14	28	8	17
YOL120C	XV;XV	93395;94291	93843;94402	-;-	561	7644	5078	41499	38999	10279	38903
YOR181W	XV	675939	677840	+	1902	1450	1855	700	644	1404	653
YOR333C	XV	944541	944957	-	417	0	1	0	1	2	0
YOR335C	XV	946233	949109	-	2877	4409	4606	11365	11283	4104	10078
YOL046C	XV	243466	244140	-	675	0	2	6	7	3	8
YOL029C	XV	269815	270420	-	606	1346	1004	313	406	1515	348
YOL155W-A	XV	27084	27218	+	135	0	0	0	0	0	0
YOR072W	XV	461502	461816	+	315	53	40	26	24	27	23
YOL161C	XV	11549	11911	-	363	0	1	0	2	3	1
snR58	XV	136088	136183	-	96	10	9	14	18	4	2
YOL122C	XV	89692	91419	-	1728	4907	5128	1419	1291	3873	1353
YOR252W	XV	803667	804203	+	537	85	77	460	788	101	567
YOR157C	XV	630966	631751	-	786	4074	5816	2202	2276	3876	2099
YOL107W	XV	112102	113130	+	1029	552	878	503	394	446	378
YOR274W	XV	837674	838960	+	1287	469	401	352	539	504	388
YOL013W-B	XV	300690	300980	+	291	1	1	4	1	5	0
YOR343C	XV	968148	968474	-	327	19	12	8	13	13	8
YOR093C	XV	497506	502452	-	4947	754	733	764	898	679	798
YOR381W-A	XV	1058423	1058590	+	168	17	26	11	13	16	12
YOL065C	XV	204731	205885	-	1155	634	656	292	307	618	294
YOR092W	XV	495127	496968	+	1842	775	865	971	1021	597	961
YOR207C	XV	730008	733457	-	3450	653	913	3459	4046	605	3197
YOR365C	XV	1023461	1025572	-	2112	278	284	163	198	215	165
YOL005C	XV	315813	316175	-	363	829	718	599	605	649	622
YOL020W	XV	286172	287950	+	1779	1718	2481	2883	2864	1159	2686
YOL053W	XV	230085	231272	+	1188	458	583	120	165	525	140
YOL117W	XV	97551	99488	+	1938	935	830	177	167	854	162
YOR038C	XV	402761	405388	-	2628	637	1006	687	883	517	673
YOR303W	XV	882899	884134	+	1236	7274	3550	3664	3824	7025	3887
YOR137C	XV	581813	583681	-	1869	660	696	356	317	500	394
YOL034W	XV	259923	263204	+	3282	470	409	379	633	401	430
YOR052C	XV	426772	427224	-	453	2356	2356	426	525	2411	730
YOR190W	XV	690695	692032	+	1338	695	675	233	232	522	190
YOL039W	XV	254297	254617	+	321	5698	3636	20670	21542	7691	17664
YOR349W	XV	989789	992833	+	3045	610	854	694	714	425	638
YOL090W	XV	147382	150276	+	2895	2133	1134	1018	1366	2187	1227
YOR271C	XV	831059	832042	-	984	1046	637	3581	3455	958	3538
YOR173W	XV	657264	658325	+	1062	2063	3767	99	101	2136	57
YOR106W	XV	519121	519972	+	852	229	232	262	399	216	249
YOR108W	XV	523027	524841	+	1815	753	421	5313	4313	739	4073
YOR059C	XV	438906	440258	-	1353	2685	3545	531	643	2368	559
YOL149W	XV	44938	45633	+	696	383	351	426	638	425	550
YOR121C	XV	551798	552103	-	306	50	72	38	33	36	28
YOL106W	XV	113226	113579	+	354	39	72	54	28	19	24
snR9	XV	407948	408134	-	187	173	148	78	79	201	71
YOR295W	XV	869208	869894	+	687	122	147	186	263	102	194
YOR203W	XV	722565	722918	+	354	29	37	48	47	43	36
YOR132W	XV	573175	574830	+	1656	3025	3819	710	767	2961	626
YOR216C	XV	747525	748979	-	1455	800	381	562	826	867	639
YOR099W	XV	511825	513006	+	1182	3543	4728	6156	6213	3138	5276
YOR001W	XV	326832	329033	+	2202	533	520	1646	2060	416	1718
YOR009W	XV	344335	345798	+	1464	243	309	357	415	216	309
YOR204W	XV	722911	724725	+	1815	3749	3002	5929	6370	3811	5369
YOR209C	XV	736437	737726	-	1290	2662	2688	2888	2834	2700	2976
YOR284W	XV	848478	849209	+	732	211	451	161	204	194	171
YOR036W	XV	400348	401214	+	867	1655	1522	308	392	1663	386
YOR154W	XV	624729	626492	+	1764	302	344	794	1007	289	789
YOR048C	XV	418630	421650	-	3021	1128	1232	2657	2686	927	2372
YOL073C	XV	193832	194800	-	969	1729	2306	544	548	1616	439
YOL152W	XV	40748	42610	+	1863	1069	907	144	179	886	192
YOL101C	XV	126982	127920	-	939	96	69	317	297	95	371
YOR085W	XV	482033	483085	+	1053	3395	2291	3656	2846	3066	2980
YOR227W	XV	762825	766565	+	3741	6917	8723	1296	1177	5655	1049
YOR159C	XV	633282	633566	-	285	267	218	395	471	326	411
YOR146W	XV	605873	606178	+	306	0	0	0	1	0	0
YOR372C	XV	1034807	1036471	-	1665	420	143	589	578	389	703
YOR112W	XV	531508	533793	+	2286	1267	1809	858	795	1151	878
YOR387C	XV	1069621	1070241	-	621	87	171	53	51	75	27
YOR229W	XV	768409	769812	+	1404	169	273	452	567	160	402
YOR068C	XV	453869	454213	-	345	0	0	0	0	0	0
YOR376W-A	XV	1045196	1045351	+	156	125	131	67	40	140	31
YOL050C	XV	237882	238202	-	321	2	7	5	0	1	1
YOR342C	XV	966666	967625	-	960	114	57	857	936	113	950
YOL035C	XV	258803	259105	-	303	40	30	19	15	19	13
YOR251C	XV	802550	803464	-	915	988	1397	1495	1612	871	1380
YOR041C	XV	408358	408789	-	432	15	17	2	4	6	2
YOR130C	XV	569929	570807	-	879	1221	1237	332	378	1304	322
YOR119C	XV	548792	550246	-	1455	273	161	871	1098	259	997
YOL166C	XV	1000	1338	-	339	0	0	0	0	0	0
YOR008C	XV	341278	342414	-	1137	2618	2440	1611	1561	2913	1552
YOL011W	XV	305349	307409	+	2061	1186	1458	1939	1677	866	1795
YOR248W	XV	798013	798315	+	303	28	28	56	61	19	39
YOR202W	XV	721946	722608	+	663	1077	1005	823	920	1039	711
YOR266W	XV	821023	822294	+	1272	369	286	173	251	358	221
YOR140W	XV	586981	589281	+	2301	220	310	451	537	211	441
YOR004W	XV	333592	334356	+	765	63	47	956	1367	90	962
YOR308C	XV	894624	896387	-	1764	239	159	326	436	186	320
YOR032C	XV	389771	391075	-	1305	253	318	155	133	205	149
YOR311C	XV	899056	899928	-	873	1879	2053	1697	1904	1584	1563
YOL019W	XV	288898	290553	+	1656	625	766	980	884	465	910
YOL138C	XV	61325	65350	-	4026	739	1227	752	941	611	670
YOL151W	XV	43694	44722	+	1029	33954	30298	1266	1190	32401	1161
YOR330C	XV	939621	943385	-	3765	821	734	1024	1037	772	885
YOR379C	XV	1050726	1051064	-	339	1	0	0	0	0	0
YOR142W	XV	593057	594046	+	990	7643	11555	2885	2957	5921	2569
YOR268C	XV	825534	825932	-	399	10	12	4	3	20	2
snR81	XV	234346	234546	+	201	6	13	10	5	11	4
YOR017W	XV	361412	363814	+	2403	746	675	358	467	683	370
YOR394W	XV	1082718	1083212	+	495	0	0	0	0	0	0
YOL134C	XV	70156	70545	-	390	5	3	3	5	1	5
YOR002W	XV	329417	331051	+	1635	4278	5141	3857	3571	3379	3202
YOR194C	XV	711683	712543	-	861	827	236	344	493	924	472
YOR298C-A	XV	877230	877685	-	456	9933	9064	5830	6897	13382	5607
YOL069W	XV	198942	200297	+	1356	253	234	316	372	255	264
YOR014W	XV	357674	359947	+	2274	5203	5263	3065	2945	4773	2639
YOR346W	XV	981828	984785	+	2958	372	350	994	1157	305	1199
YOR044W	XV	413007	413480	+	474	168	152	172	183	218	151
YOR275C	XV	839084	841069	-	1986	1891	2029	710	817	1764	615
YOR174W	XV	658747	659601	+	855	579	716	405	552	660	459
YOR336W	XV	949773	953870	+	4098	2120	2636	1825	1591	1688	1341
YOL094C	XV	141584	142555	-	972	597	546	451	546	489	501
YOR122C	XV;XV	552298;552875	552665;552887	-;-	381	9010	10197	6345	6261	7481	5770
YOR256C	XV	808254	810683	-	2430	2023	2225	1129	1112	1923	1022
YOL137W	XV	65621	67114	+	1494	675	607	839	885	481	887
YOR350C	XV	992864	994855	-	1992	644	654	387	373	565	357
YOR196C	XV	715593	716837	-	1245	735	584	781	896	858	837
YOR380W	XV	1051290	1052930	+	1641	617	966	311	323	487	316
YOR314W-A	XV	904458	904568	+	111	0	0	0	2	0	1
tA(UGC)O	XV	854187	854259	-	73	1	2	0	0	1	0
YOL097W-A	XV	136220	136405	+	186	22	26	31	44	28	26
YOR376W	XV	1043191	1043559	+	369	18	19	11	5	4	3
YOR369C	XV	1028194	1028625	-	432	11618	9321	59497	69277	17927	51794
YOL132W	XV	71300	72715	+	1416	115	153	77	63	69	50
YOR296W	XV	870202	874071	+	3870	764	1063	537	725	705	517
YOR260W	XV	813984	815720	+	1737	1646	2229	3616	3665	1226	3379
YOR373W	XV	1036834	1039389	+	2556	467	709	545	562	326	559
YOR163W	XV	642741	643307	+	567	1427	2409	552	866	1382	581
YOR029W	XV	384600	384935	+	336	17	24	4	8	25	8
YOL042W	XV	249825	250916	+	1092	662	676	426	475	560	423
YOR316C	XV	906236	907555	-	1320	3704	4911	1219	1084	2751	1128
YOR326W	XV	925721	930445	+	4725	3460	1168	5872	5216	3227	5309
YOR293C-A	XV	867998	868147	-	150	3	1	31	27	5	19
YOL036W	XV	256745	259030	+	2286	2379	1908	1139	1136	2313	1068
YOR072W-B	XV	464469	464630	+	162	0	0	0	0	0	0
YOR332W	XV	943656	944357	+	702	1709	2138	1420	1599	1659	1197
YOL002C	XV	323411	324364	-	954	1048	1130	1686	1851	964	1700
YOR193W	XV	710446	711576	+	1131	272	165	157	192	239	172
YOR243C	XV	790211	792241	-	2031	436	474	2946	3875	443	2898
YOR126C	XV	559961	560677	-	717	552	749	385	362	483	379
YOR070C	XV	455907	457820	-	1914	913	816	535	497	822	496
YOR328W	XV	931803	936497	+	4695	1486	2079	917	1000	1001	926
YOL056W	XV	223268	224179	+	912	720	678	486	629	800	487
YOR098C	XV	507948	511178	-	3231	1377	1848	2921	3218	1155	2561
YOL110W	XV	109176	109889	+	714	821	1170	360	391	817	327
YOR213C	XV	744535	745281	-	747	422	424	527	629	383	494
YOR253W	XV	804377	804907	+	531	575	403	979	1194	699	982
YOR008C-A	XV	342857	343081	-	225	5	13	10	13	7	7
YOL113W	XV	104326	106293	+	1968	1050	1239	456	602	941	442
YOR060C	XV	440390	441163	-	774	297	295	172	223	326	219
YOL076W	XV	187024	189414	+	2391	469	115	1100	1266	480	1308
YOR186C-A	XV	683329	683538	-	210	0	0	0	0	0	0
YOR381W	XV	1055545	1057680	+	2136	1785	2928	555	594	1267	460
YOR113W	XV	534075	536819	+	2745	536	484	297	297	580	213
YOR273C	XV	834452	836431	-	1980	5610	4045	240	227	5539	222
tN(GUU)O1	XV	228331	228404	+	74	0	0	1	0	0	0
YOR161W-A	XV	637574	637654	+	81	0	0	0	0	0	0
YOL147C	XV	47933	48643	-	711	850	1272	949	966	654	871
YOR338W	XV	956898	957989	+	1092	142	181	97	195	117	127
YOR178C	XV	667860	670241	-	2382	368	330	389	425	305	470
YOR188W	XV	685767	689180	+	3414	360	370	1106	1363	287	1211
YOL159C	XV	17281	17796	-	516	434	589	244	250	450	235
YOR382W	XV	1059531	1059992	+	462	4926	17730	1600	1867	2340	1261
YOL071W	XV	196507	196995	+	489	709	611	111	128	714	116
YOR363C	XV	1020222	1023212	-	2991	1127	1388	558	610	973	520
YOR069W	XV	453768	455795	+	2028	1257	1004	402	570	1139	515
YOR075W	XV	468212	469252	+	1041	728	133	227	304	846	249
YOR124C	XV	554824	558642	-	3819	3694	4058	1439	1549	3566	1366
YOR008W-B	XV	343929	344030	+	102	30	22	19	22	12	18
snR31	XV	841958	842182	-	225	150	115	113	163	188	136
YOL025W	XV	274957	276939	+	1983	529	585	318	304	478	364
YOR057W	XV	432186	433373	+	1188	1154	1813	578	826	987	627
YOR265W	XV	820454	820774	+	321	428	408	277	393	404	324
YOL127W	XV;XV	80348;80775	80360;81190	+;+	429	5601	3604	27582	36522	8895	26212
YOR107W	XV	521353	522282	+	930	113	132	154	187	77	159
YOL142W	XV	55558	56280	+	723	434	448	1085	1073	332	1087
YOR239W	XV;XV	784857;785689	785687;786744	+;+	1887	1361	1348	2551	2689	1301	2154
YOL091W	XV	145334	147163	+	1830	86	21	111	100	77	116
YOR317W	XV	909343	911445	+	2103	4003	5496	2198	1898	4478	1867
YOR370C	XV	1029183	1030994	-	1812	2349	2576	3006	2882	2227	2723
tM(CAU)O1	XV	710201	710272	+	72	2	0	2	2	0	2
YOR211C	XV	738924	741569	-	2646	1134	1105	833	844	985	806
YOR191W	XV	692475	697334	+	4860	1448	1658	1304	1728	1402	1175
YOL064C	XV	206103	207176	-	1074	3969	4790	1461	1583	3706	1325
tT(AGU)O1	XV	113802	113874	+	73	0	0	0	0	0	0
YOL049W	XV	238619	240094	+	1476	5466	7702	2123	2426	4990	1932
YOL043C	XV	248392	249534	-	1143	473	184	171	268	499	184
YOR043W	XV	410870	412330	+	1461	4141	4985	1944	1933	4022	1714
YOR331C	XV	943565	944122	-	558	0	0	0	0	0	1
YOR309C	XV	896698	897078	-	381	18	4	235	162	14	190
YOR104W	XV	517642	518490	+	849	190	294	192	214	205	190
YOL114C	XV	103317	103925	-	609	28	23	18	36	30	20
YOR300W	XV	880575	880883	+	309	3	8	12	8	12	5
YOR220W	XV	755328	756125	+	798	2318	2379	296	332	2382	568
YOR378W	XV	1049511	1051058	+	1548	230	279	207	234	163	223
YOL059W	XV	217126	218448	+	1323	5025	3545	4559	5109	5750	4481
YOR386W	XV	1066839	1068536	+	1698	1200	1563	125	148	1213	145
YOL027C	XV	272003	273724	-	1722	1047	668	1430	1548	1041	1406
snR62	XV	409765	409864	-	100	236	162	15	24	234	21
snR17a	XV;XV	780107;780278	780120;780596	+;+	333	63	87	15	81	61	85
YOL155C	XV	28703	31606	-	2904	4939	10515	3278	3364	4859	2391
YOR375C	XV	1041678	1043042	-	1365	5264	5232	7058	6421	5066	6631
snR35	XV	759326	759529	-	204	56	46	13	26	60	32
YOR100C	XV	513295	514278	-	984	58	71	9	14	51	20
YOL026C	XV	274012	274353	-	342	510	451	394	364	440	383
YOL012C	XV	303579	303983	-	405	1049	1349	1509	1548	978	1380
YOR026W	XV	379781	380806	+	1026	488	406	496	526	471	460
YOR359W	XV	1011189	1012760	+	1572	189	152	1097	1111	103	1041
YOR250C	XV	800970	802307	-	1338	975	1332	430	455	936	467
YOL013C	XV	301380	303035	-	1656	1463	1504	765	658	1308	740
YOR272W	XV	832813	834195	+	1383	226	190	2713	2914	349	2390
tG(GCC)O2	XV	282164	282234	+	71	0	1	2	3	0	1
YOL164W-A	XV	4130	4312	+	183	27	59	12	17	35	14
YOL082W	XV	168727	169974	+	1248	3328	2832	441	460	3196	494
snR36	XV	680685	680866	-	182	19	9	16	21	19	19
YOR035C	XV	397735	400104	-	2370	1656	2582	629	670	1603	620
YOL016C	XV	294777	296120	-	1344	1834	2017	655	581	2291	2054
YOR007C	XV	338938	339978	-	1041	14160	15436	6451	8025	16576	6165
YOR325W	XV	924577	925050	+	474	2	0	1	1	0	1
YOL085W-A	XV	161579	161791	+	213	45	69	6	9	50	4
YOL160W	XV	14313	14654	+	342	11	18	8	20	12	16
YOR361C	XV	1015361	1017652	-	2292	2943	2897	8153	8201	2879	7986
YOL158C	XV	19491	21311	-	1821	7771	14161	3592	3819	4991	3267
YOR315W	XV	904760	905800	+	1041	131	116	2063	2078	122	2112
YOR010C	XV	346195	346950	-	756	464	562	192	171	371	161
YOR384W	XV	1061564	1063648	+	2085	1985	2221	674	706	1519	669
YOR234C	XV;XV	778555;779387	778859;779405	-;-	324	792	375	5861	6373	957	6468
YOR283W	XV	847453	848145	+	693	600	665	879	1049	677	898
YOR020W-A	XV	371685	371957	+	273	1075	934	115	176	1120	142
YOL045W	XV	243497	246802	+	3306	881	824	1108	1345	880	1010
YOR102W	XV	516423	516773	+	351	17	31	34	25	25	25
YOL128C	XV	78352	79479	-	1128	127	155	418	521	112	448
YOR360C	XV	1013241	1014821	-	1581	1871	1178	1590	1588	1458	1493
YOL097C	XV	136527	137825	-	1299	2032	1692	4875	5205	2211	4857
YOR164C	XV	643394	644332	-	939	1507	2070	1733	1818	1691	1572
YOR175C	XV	659815	661674	-	1860	3115	3620	4902	4595	2701	4238
tP(UGG)O1	XV;XV	301097;301163	301132;301198	+;+	72	0	0	0	0	0	0
YOR086C	XV	483219	486779	-	3561	4556	5302	3754	3620	4109	3165
YOR242C	XV	788742	789857	-	1116	11	19	86	87	16	68
YOR155C	XV	626628	627980	-	1353	2829	4433	718	758	2486	750
YOL019W-A	XV	288420	288572	+	153	0	0	0	0	0	0
YOL030W	XV	268187	269641	+	1455	6041	9012	8384	7545	4276	6523
YOR323C	XV	921535	922905	-	1371	4189	4773	3147	3336	4355	2752
YOL017W	XV	292529	294673	+	2145	747	962	247	350	662	290
YOR233W	XV	775846	778248	+	2403	482	634	986	1179	359	932
YOL037C	XV	256666	257019	-	354	35	15	14	5	27	10
YOR083W	XV	479533	480420	+	888	133	88	109	104	98	90
YOL010W	XV	307938	309041	+	1104	133	135	1112	1379	100	1178
YOR118W	XV	546857	548560	+	1704	739	862	1279	1536	837	1249
YOR128C	XV	564476	566191	-	1716	2294	2126	2482	2282	2156	2458
YOL125W	XV	83834	85264	+	1431	355	362	854	1052	316	797
YOL004W	XV	316938	321548	+	4611	2842	3457	2627	2947	2589	2357
YOR177C	XV	665785	667179	-	1395	66	50	29	50	83	38
YOR166C	XV	647126	648502	-	1377	429	226	406	560	337	496
YOR006C	XV	337680	338621	-	942	414	393	453	636	422	466
YOR324C	XV	923232	925040	-	1809	432	194	483	459	347	457
YOL024W	XV	277086	277604	+	519	8	19	12	10	6	8
YOR033C	XV	392416	394524	-	2109	796	933	634	796	711	673
YOL033W	XV	263475	265085	+	1611	485	563	235	302	446	232
YOL070C	XV	197220	198725	-	1506	696	290	628	836	645	782
YOR116C	XV	539763	544145	-	4383	1460	1156	5273	4509	965	4564
YOL067C	XV	201985	202518	-	534	460	343	273	310	382	289
YOR145C	XV	605347	606171	-	825	237	315	1582	2008	183	1519
YOR304C-A	XV	888520	888750	-	231	163	78	116	188	121	140
YOR192C	XV	698768	700567	-	1800	323	402	198	158	233	169
YOL109W	XV	110297	110638	+	342	4542	1121	6897	9115	6191	9378
YOR078W	XV	472725	473369	+	645	155	27	413	410	155	588
YOR134W	XV	578564	579793	+	1230	335	480	43	61	283	54
YOR131C	XV	572182	572838	-	657	1071	1542	266	321	1203	256
YOR368W	XV	1026843	1028048	+	1206	480	156	426	506	410	417
YOL111C	XV	108258	108896	-	639	1491	1910	811	856	1376	766
YOR168W	XV	649303	651732	+	2430	1469	1658	5480	6038	1493	5827
YOR226C	XV	761614	762084	-	471	5273	3970	625	601	4495	761
YOL162W	XV	10119	10766	+	648	81	169	22	35	54	36
YOR334W	XV	944596	946008	+	1413	144	102	223	176	138	207
YOR241W	XV	786995	788641	+	1647	1102	1316	1333	1454	1106	1241
tP(UGG)O2	XV;XV	464450;464516	464485;464551	+;+	72	0	0	0	0	0	0
YOR245C	XV	794076	795332	-	1257	1690	1571	647	730	1579	698
YOL009C	XV	309324	310139	-	816	396	389	194	204	430	247
YOR153W	XV	619840	624375	+	4536	15570	19031	41863	40990	11463	37912
YOR358W	XV	1010161	1010889	+	729	432	543	97	150	399	127
YOR335W-A	XV	946568	946648	+	81	0	0	0	0	0	0
YOR170W	XV	651858	652163	+	306	39	43	22	25	41	16
YOR267C	XV	822588	824867	-	2280	2594	2617	1030	1026	3045	860
YOR081C	XV	476939	479188	-	2250	1343	1115	1215	1027	1242	1223
YOL145C	XV	49555	52788	-	3234	1833	748	1684	2138	1728	1880
YOL156W	XV	25273	26976	+	1704	115	192	44	43	83	42
YOR322C	XV	918606	921062	-	2457	1973	2104	1590	1597	1561	1435
YOL044W	XV	247150	248301	+	1152	508	725	232	261	488	200
YOR054C	XV	427833	429857	-	2025	709	367	162	142	723	181
YOL031C	XV	266264	267529	-	1266	845	1013	761	800	739	745
YOR034C-A	XV	397426	397668	-	243	84	120	52	38	58	33
YOR306C	XV	889867	891432	-	1566	454	573	1251	1435	337	1180
YOR261C	XV	815915	816931	-	1017	5453	615	1697	1974	5638	1807
YOR293W	XV;XV	867098;867587	867149;867852	+;+	318	2180	1173	17203	21017	3134	17462
YOR062C	XV	442725	443531	-	807	225	216	71	70	220	64
YOR339C	XV	958362	958832	-	471	102	95	48	42	68	44
YOR067C	XV	451729	453462	-	1734	1487	1641	2537	2201	1101	2168
YOR312C	XV	900250	900767	-	518	3249	1893	18281	21088	4518	18303
YOR094W	XV	502795	503346	+	552	263	210	303	359	294	309
YOL135C	XV	69376	70044	-	669	289	332	167	207	261	165
YOL105C	XV	114138	115808	-	1671	767	1029	1167	1267	571	1124
YOR329W-A	XV	939348	939557	+	210	15	21	7	9	13	10
YOR197W	XV	717086	718384	+	1299	2889	3929	2709	2791	2537	2430
YOL104C	XV	116396	117454	-	1059	550	433	549	575	442	675
YOR262W	XV	817292	818335	+	1044	713	500	1029	1093	509	1060
YOR167C	XV	648804	649007	-	204	6540	4383	16335	16435	6990	15781
YOL015W	XV	297078	298838	+	1761	95	159	112	130	109	106
YOR161C	XV	636939	638558	-	1620	3336	6125	649	607	2644	556
YOR393W	XV	1080276	1081589	+	1314	0	0	0	0	0	0
YOR105W	XV	518195	518521	+	327	21	17	8	13	19	14
YOR210W	XV	738320	738532	+	213	425	268	864	1294	425	970
YOR364W	XV	1023371	1023739	+	369	10	17	4	6	4	1
YOL087C	XV	155287	158637	-	3351	2442	2050	810	878	2277	816
YOR127W	XV	561170	564193	+	3024	1379	1924	1314	1419	1092	1165
YOR184W	XV	679357	680544	+	1188	3467	3733	5342	5605	3549	4965
YOR150W	XV	611999	612490	+	492	956	989	361	417	813	430
YOR179C	XV	671845	672411	-	567	232	310	200	237	255	189
YOR340C	XV	959202	960182	-	981	112	67	1477	1755	154	1394
YOR354C	XV	1001147	1003225	-	2079	1193	1617	998	1136	932	934
YOR217W	XV	749301	751886	+	2586	1007	1414	1378	1646	898	1315
YOR298W	XV	875599	877038	+	1440	182	152	133	145	207	140
YOL006C	XV	313078	315387	-	2310	836	210	821	1125	773	974
YOR259C	XV	812395	813708	-	1314	5093	5017	2285	2633	4914	2286
YOR318C	XV;XV	911784;912433	912085;912436	-;-	306	38	40	57	46	25	52
YOR320C	XV	913619	915094	-	1476	1066	1502	1724	1796	1039	1482
YOR222W	XV	758330	759253	+	924	1552	1570	966	1020	1584	873
YOL165C	XV	1647	2078	-	432	8	20	2	6	13	4
YOL007C	XV	311342	312367	-	1026	699	721	1104	1078	557	988
YOR307C	XV	892731	894092	-	1362	702	686	1230	1286	630	1205
